row_type,code,domain,term_en,term_fa,term_ku,section_en,used_in,ku_status
section,,section,Nominative,حالت نهادی,دۆخی نیهادی,,,exact
section,,section,Genitive,حالت اضافی,دۆخی ئیزافە,,,exact
section,,section,Dative,حالت برایی,دۆخی داتیڤ,,,exact
section,,section,Accusative,حالت رایی,دۆخی ئاکووزاتیڤ (بەرکاری),,,exact
section,,section,Vocative,حالت ندایی,دۆخی ڤوکاتیڤ (بانگ‌کردن),,,exact
section,,section,Present,زمان حال,کاتی ڕانەبوردوو یان کاتی ئێستا,,,exact
section,,section,Imperfect,زمان گذشته‌ی استمراری,کاتی ڕابوردووی بەردەوام,,,exact
section,,section,Future,زمان آینده,کاتی داهاتوو,,,exact
section,,section,Aorist,زمان گذشته‌ی تام,ڕابردووی دیاری‌نەکراو,,,exact
section,,section,Perfect,زمان حال کامل,کاتی ئیستای ته‌واو,,,exact
section,,section,Pluperfect,زمان گذشته‌ی کامل,کاتی ڕابردووی ته‌واو,,,exact
section,,section,Future Perfect,زمان آینده‌ی کامل,کاتی داهاتووی ته‌واو,,,exact
section,,section,Active Voice,جهت معلوم,ڕێژەی دیاریکراو(مه‌علووم),,,exact
section,,section,Middle Voice,جهت میانی,ڕێژەی ناوه‌ندی,,,exact
section,,section,Passive Voice,جهت مجهول,ڕێژەی کارا بزر(نه‌ناسراو),,,exact
section,,section,Indicative,وجه اخباری,ڕێژەی ئیخباری,,,exact
section,,section,Subjunctive,وجه التزامی,ڕێژەی داخوازی,,,exact
section,,section,Optative,وجه تمنایی,ڕێژەی خۆزگەیی,,,exact
section,,section,Imperative,وجه امری,ڕێژەی فەرمان,,,exact
section,,section,Infinitive,اسم‌مصدر,چاوگ,,,exact
section,,section,Participle,وجه وصفی,ئاوەڵناوی کرداری,,,exact
section,,section,Article,حرف تعریف,پیتی پێناسە,,,exact
section,,section,The pronoun αὐτός,ضمیر αὐτός,جێناوی αὐτός,,,exact
section,,section,Notes,ملاحظات,تێبینی,,,exact
entry,NomSubj,entry,Subject,نهاد,نیهاد,Nominative,,exact
entry,NomPred,entry,Predicate,مسند,گوزاره,Nominative,,exact
entry,NomInd,entry,Independent,مستقل,سەربەخۆ,Nominative,,exact
entry,NomVoc,entry,As Vocative,ندایی,بانگهێشتن,Nominative,,exact
entry,GenPos,entry,Possessor,ملکی,خاوەنایەتی,Genitive,,exact
entry,GenPart,entry,Partitive,کلیّت یک جزء,دەربڕینی گشتییەت,Genitive,,exact
entry,GenQual,entry,Quality,کیفی,چلۆنایەتی,Genitive,,exact
entry,GenExpl,entry,Explanation,توضیحی,ڕوون‌کردنه‌و‌ه,Genitive,,exact
entry,GenMat,entry,Material,جنس,جنس,Genitive,,exact
entry,GenMeas,entry,Measure,کمّی,چەندێتی,Genitive,,exact
entry,GenSubj,entry,Subjective,فاعلی,بکه‌ری,Genitive,,exact
entry,GenObj,entry,Objective,مفعولی,به‌رکاری,Genitive,,exact
entry,GenVal,entry,Value,ارزش,بایەخ,Genitive,,exact
entry,GenVerb,entry,Complement of the Verb,مکمل فعل,تەواوکەری کار,Genitive,,exact
entry,GenSep,entry,Source and Separation,منشاء و جدایی,سەرچاوە و جیابوونەوە,Genitive,,exact
entry,GenTime,entry,Time,زمان,کات,Genitive,,exact
entry,GenComp,entry,Comparison,قیاسی,بەراوردکاری,Genitive,,exact
entry,GenLoc,entry,Place,مکان,شوێن,Genitive,,exact
entry,GenAbs,entry,In Genitive Absolute,در عبارات اضافی مستقل,له دەستەواژەی ئیزافه‌ی سەربەخۆ,Genitive,,exact
entry,GenRef,entry,Reference,موضوع یا زمینه,بابەت یان به‌ستێن,Genitive,,exact
entry,GenCaus,entry,Cause,علّت,هۆکار,Genitive,,exact
entry,DatVerb,entry,Complement of the verb,مکمل فعل,تەواوکەری کردار,Dative,,exact
entry,DatPos,entry,Possessor,ملکی,خاوەندارێتی,Dative,,exact
entry,DatAdvn,entry,Advantage (or Disadvantage),نفع و ضرر,بەرژەوەندی یان زیان,Dative,,exact
entry,DatEthic,entry,Ethical Dative (or Dative of Feeling),تأکیدی (بیان احساسات),تاکیدی (دەربڕینی هه‌ست),Dative,,exact
entry,DatAgent,entry,Agent,عامل,بکه‌ر,Dative,,exact
entry,DatMean,entry,Manner and means,نحوه و وسیله,شێوە و کەرەسە,Dative,,exact
entry,DatMeas,entry,Measure of Difference,مقیاس اندازه‌گیری,ئەندازەگیری و پێوان,Dative,,exact
entry,DatInstr,entry,Instrument,ابزاری,ئامێر,Dative,,exact
entry,DatCaus,entry,Cause or Purpose,سبب و هدف,هۆکار و ئامانج,Dative,,exact
entry,DatAccom,entry,Accompaniment,همراهی,هاوڕێیی,Dative,,exact
entry,DatTime,entry,Time,زمان,کات,Dative,,exact
entry,DatLoc,entry,Place,مکان,شوێن,Dative,,exact
entry,DatResp,entry,Respect,تصریحی,ڕوون کردنه‌وه,Dative,,exact
entry,DatExpr,entry,Experiencer,تجربه‌گر,تاقی‌که‌ر,Dative,,exact
entry,AccObj,entry,Direct Object,مفعول مستقیم,بەرکاری ڕاستەوخۆ,Accusative,,exact
entry,AccCog,entry,Cognate,رایی هم‌ریشه,ئاکووزاتیڤی هاوڕەگ,Accusative,,exact
entry,AccSubj,entry,Subject of Infinitive or Participle,فاعل اسم‌مصدر یا وجه وصفی,نیهادی چاوگ یان ئاوەڵناوی کاری,Accusative,,exact
entry,AccResp,entry,Respect,رایی تصریحی,ئاکووزاتیڤی ڕوون‌کردنه‌وه,Accusative,,exact
entry,AccTime,entry,Time,بازه‌ی زمانی,مه‌ودای کات,Accusative,,exact
entry,AccSpac,entry,Space,بازه‌ی مکانی,مه‌ودای شوێن,Accusative,,exact
entry,AccDirec,entry,Direction,جهت,لایەن,Accusative,,exact
entry,AccAdv,entry,Adverbial,قیدی,ئاوەڵکار,Accusative,,exact
entry,AccOath,entry,Oaths,سوگند,سوێند,Accusative,,exact
entry,AccDoubl,entry,Double Accusative,با افعال دومفعولی,لەگەڵ کردارگه‌لی دو به‌رکار,Accusative,,exact
entry,AccCaus,entry,Cause or Goal,علت یا هدف,هۆکار یان مەبەست,Accusative,,exact
entry,Voc,entry,Exclamations and direct address,خطاب مستقیم یا حیرت,بانگهێشتی ڕاستەوخۆ یان سەرسووڕمان,Vocative,,exact
entry,Pres,entry,Present of Continuity,استمرار,ڕانەبوردووی بەردەوام,Present,,exact
entry,PresIter,entry,Customary Action (Iterative),تکرار و عادات,دووپات و عاده‌ت(دووبارەکراو),Present,,exact
entry,PresCona,entry,Conative Present,ارادی,قه‌ستی,Present,,exact
entry,PresHist,entry,Historical Present,تاریخی,مێژوویی,Present,,exact
entry,PresPerf,entry,Resultative and Perfective Present,نتیجه‌محور یا کلیت‌محور,دەرئەنجام یان باری گشتی,Present,,exact
entry,PresNoni,entry,Non-indicative (Imperfective Aspect),غیر اخباری (نمود ناکامل),ڕێژه‌ی نائیخباری,Present,,exact
entry,Impf,entry,Imperfect of Continuance,بیان استمرار,دەربڕینی بەردەوامی,Imperfect,,exact
entry,ImpfIter,entry,Customary Action (Iterative),تکرار و عادات,دووپات‌بوونەوە و خوو,Imperfect,,exact
entry,ImpfCona,entry,Conative Imperfect,ارادی,خۆویستوو,Imperfect,,exact
entry,ImpfComp,entry,Imperfect of Completed Action,نتیجه‌محور,نتیجه‌محور,Imperfect,,exact
entry,ImpfDesc,entry,Imperfect of Description,توصیفی,ڕوون‌کردنەوە,Imperfect,,exact
entry,ImpfCons,entry,Imperfect of Consecutive Action,بیان توالی (آغازی),یەک‌لەدوای‌یەک (سه‌ره‌تایی),Imperfect,,exact
entry,Fut,entry,Future Events or Expectations,رویدادها و انتظارات آینده,ڕووداوه‌کان و چاوەڕوانی,Future,,exact
entry,FutHypo,entry,Hypothesis or General Truth,فرضیات و حقایق کلی,گریمانە و ڕاستی گشتی,Future,,exact
entry,FutJuss,entry,Jussive Future,امری,فه‌رمان دان,Future,,exact
entry,FutNoni,entry,Non-indicative,غیر اخباری,نائیخباری,Future,,exact
entry,Aor,entry,Resultative Aorist,نتیجه‌محور,دەرئەنجامی,Aorist,,exact
entry,AorIngr,entry,Ingressive Aorist,آغازشگر,دەستپێکەر,Aorist,,exact
entry,AorComp,entry,Complexive Aorist,مرکب,لێکدراو,Aorist,,exact
entry,AorGnom,entry,Gnomic Aorist,امثال و حقایق کلی,ڕاستی گشتی,Aorist,,exact
entry,AorSug,entry,Suggestive Questions and Requests,پرسش و درخواست پیشنهادی,پرسیار و داواکاری پێشنیار,Aorist,,exact
entry,AorIter,entry,Customary Action (Iterative),تکرار و عادات,دووبارەبوونەوە و خوو,Aorist,,exact
entry,AorDram,entry,Dramatic Aorist,نمایشی,شانۆگەری,Aorist,,exact
entry,AorNoni,entry,Non-indicative (Perfective Aspect),غیر اخباری (نمود کامل),نائیخباری,Aorist,,exact
entry,Perf,entry,Completed action,امر انجام‌شده,کردارێکی تەواو,Perfect,,exact
entry,PerfInten,entry,Intensive Perfect,تأکیدی,جەختکه‌ر,Perfect,,exact
entry,PerfFut,entry,Perfect for Future Perfect,در معنای آینده‌ی کامل,له واتای داهاتووی ته‌واو,Perfect,,exact
entry,PerfNoni,entry,Non-indicative,غیر اخباری,نائيخباری,Perfect,,exact
entry,Pperf,entry,Past Perfect,گذشته‌ی کامل,ڕابردووی ته‌واو,Pluperfect,,exact
entry,PperfImm,entry,Pluperfect of Immediate Occurrence,وقوع بلافاصله,ڕوودانی دەسبەجێ,Pluperfect,,exact
entry,PperfInt,entry,Intensive Pluperfect,تأکیدی,جه‌ختکه‌ر,Pluperfect,,exact
entry,Futperf,entry,Future Completed Action,امر انجام‌شده‌ در آینده,کردەوەێک له داهاتوو,Future Perfect,,exact
entry,FutperfInten,entry,Intensive or Immediate Consequence,پیامد شدید یا فوری,ئەنجامی ته‌واو یان دەسبەجێ,Future Perfect,,exact
entry,Act,entry,Active Voice,جهت معلوم,ڕێژەی دیاریکراو,Active Voice,,exact
entry,MidIndir,entry,Indirect Reflexive Middle,انعکاسی غیرمستقیم,ناوه‌ندی گەڕانەوەیی ناڕاستەوخۆ,Middle Voice,,exact
entry,MidDir,entry,Direct Reflexive Middle,انعکاسی مستقیم,ناوینە‌ی گەڕانەوەیی ڕاستەوخۆ,Middle Voice,,exact
entry,MidSpee,entry,Speech Act Middle,گفتاری,وتاردان,Middle Voice,,exact
entry,MidMotion,entry,Body Motions,حرکات جسمانی,جم‌وجۆڵی جه‌سته‌یی,Middle Voice,,exact
entry,MidMent,entry,"Mental Activity, Process or Perception",ادراک، کنش یا فرآیند ذهنی,تێگەیشتن یان چالاکی مێشکی,Middle Voice,,exact
entry,MidRecip,entry,Reciprocal Middle,متقابل,ناوه‌ندی بەرامبەر,Middle Voice,,exact
entry,MidSpon,entry,Spontaneous Process Middle,روند خودآیند,ناوەندی پرۆسەی خۆبەخۆ,Middle Voice,,exact
entry,Pass,entry,Passive voice,جهت مجهول,ڕێژەی نه‌ناسراو,Passive Voice,,exact
entry,Ind,entry,Assertions and Questions,خبری یا سوالی,ئیخباری یای پرسیاری,Indicative,,exact
entry,IndOblig,entry,Unfulfilled Obligation,تعهد انجام‌نشده,بەڵێنی‌ جێبەجێ‌نە‌کراو,Indicative,,exact
entry,IndWish,entry,Unattainable Wish,فرض محال,گریمانی مەحاڵ,Indicative,,exact
entry,IndCount,entry,Counterfactual Indicative,خلاف واقع,ئاماژه به دژە ڕاستی,Indicative,,exact
entry,SubjHort,entry,Hortatory Subjunctive,ترغیبی,هاندەرانە,Subjunctive,,exact
entry,SubjProh,entry,Prohibitive Subjunctive,بیان نهی,ڕێگر,Subjunctive,,exact
entry,SubjDoubt,entry,Doubtful Assertion,تصدیق مردّدانه,بریاری گوماناوی,Subjunctive,,exact
entry,SubjDelib,entry,Deliberative Subjunctive,رایزنی,ڕاوێژکاری,Subjunctive,,exact
entry,SubjHomer,entry,Anticipatory Subjunctive (Homeric),پیش‌انگارانه (هومری),پێش‌بینانە (هومێری),Subjunctive,,exact
entry,SubjDenia,entry,Emphatic Denial,نفی تأکیدی,ڕەددانەوە‌ی بەهێز,Subjunctive,,exact
entry,SubjSubor,entry,In subordinate clause,در بند‌های وابسته,له بڕگە‌ بەستراوه‌کان,Subjunctive,,exact
entry,OptWish,entry,Optative of Wish,آرزویی,خۆزگەیی,Optative,,exact
entry,OptComm,entry,Command or Request,امر یا درخواست,فه‌رمان یان داخوازی,Optative,,exact
entry,OptPoten,entry,Potential Optative,بالقوه,داڕشتنی ڕەنگەیی,Optative,,exact
entry,OptSubor,entry,In subordinate clause,در بند‌های وابسته,له بڕگە‌ بەستراوه‌کان,Optative,,exact
entry,ImprComm,entry,Command or Prohibition,امر یا نهی,فەرمان یان بەرگیری,Imperative,,exact
entry,ImprAssum,entry,"Assumption, Concession or Greeting",فرض، مزیت یا درود,گریمانەکردن، دەربڕینی سڵاو,Imperative,,exact
entry,InfDyn,entry,Dynamic infinitive,مصدر پویا,چاوگی چالاک,Infinitive,,exact
entry,InfDec,entry,Declarative infinitive,مصدر تبیینی,چاوگی ئاگاداری,Infinitive,,exact
entry,InfIdio,entry,Idiomatic expressions,در عبارات اصطلاحی,له دەستەواژه‌ی زاراوەیی,Infinitive,,exact
entry,InfComm,entry,"Infinitive of Commands, Wishes, and Exclamations",بیان امر، آرزو یا حیرت,دەربڕینی ئاوات یان سەرسوڕمان,Infinitive,,exact
entry,InfArt,entry,Articular Infinitive,با حرف تعریف,پیتی پێناسین,Infinitive,,exact
entry,PartAttr,entry,Attributive and Substantival Participle,توصیفی و اسمی,ئاوەڵ‌ناوی کرداری,Participle,,exact
entry,PartCirc,entry,Circumstantial Participle,بیان موقعیت,دەربڕینی بارودۆخ,Participle,,exact
entry,PartGen,entry,Circumstantial Participle - Genitive Absolute,بیان موقعیت - اضافی مستقل,دەربڕینی بارودۆخ - ئیزافە‌ی سەربەخۆ,Participle,,exact
