syllabus,pos_category,frequency
accusative,noun/adjective,63045
nominative,noun/adjective,43630
pronouns,pronoun,34682
genitive,noun/adjective,34275
article,article,29012
dative,noun/adjective,25414
"aorist, indicative, active (ω)",verb,8510
"present, participle, active (ω)",verb,7608
"imperfect, indicative, active (ω)",verb,6485
"present, indicative, active (ω)",verb,6058
"aorist, participle, active (ω)",verb,5121
vocative,noun/adjective,4050
"present, infinitive, active (ω)",verb,3820
"present, indicative, active (μι)",verb,3423
"imperfect, indicative, active (μι)",verb,2555
"aorist, infinitive, active (ω)",verb,2153
"present, participle, middle/passive (ω)",verb,2134
"present, participle, active (μι)",verb,2022
"aorist, indicative, active (μι)",verb,1707
"present, participle, middle/passive (deponent)",verb,1665
"present, indicative, middle/passive (deponent)",verb,1548
"imperfect, indicative, middle/passive (ω)",verb,1479
"imperfect, indicative, middle/passive (deponent)",verb,1400
"aorist, indicative, middle (ω)",verb,1273
"aorist, indicative, middle (deponent)",verb,1261
"present, indicative, middle/passive (ω)",verb,1235
"future, indicative, active (ω)",verb,1192
"present, infinitive, active (μι)",verb,1176
"aorist, subjunctive, active (ω)",verb,1172
"aorist, participle, passive (ω)",verb,1162
"perfect, participle, middle/passive (ω)",verb,1117
"present, imperative, active (ω)",verb,1087
"aorist, indicative, active (irregulars)",verb,1051
"aorist, indicative, passive (ω)",verb,922
"present, subjunctive, active (ω)",verb,799
"present, infinitive, middle/passive (ω)",verb,773
"aorist, participle, middle (ω)",verb,760
"aorist, optative, active (ω)",verb,750
"present, infinitive, middle/passive (deponent)",verb,684
"aorist, indicative, active (deponent)",verb,680
"aorist, participle, middle (deponent)",verb,645
"perfect, participle, active (ω)",verb,641
"imperfect, indicative, middle/passive (μι)",verb,605
"present, optative, active (ω)",verb,574
"aorist, participle, active (μι)",verb,574
"aorist, imperative, active (ω)",verb,564
"perfect, indicative, active (ω)",verb,548
"perfect, indicative, active (irregulars)",verb,545
"aorist, participle, active (irregulars)",verb,533
"aorist, participle, active (deponent)",verb,491
"future, indicative, middle (ω)",verb,488
unknown,noun/adjective,460
"perfect, participle, middle/passive (deponent)",verb,458
"aorist, indicative, middle (μι)",verb,451
"aorist, infinitive, middle (deponent)",verb,450
"perfect, participle, active (irregulars)",verb,443
"perfect, indicative, middle/passive (ω)",verb,435
"future, infinitive, active (ω)",verb,433
"aorist, infinitive, middle (ω)",verb,382
"present, indicative, active (irregulars)",verb,323
"aorist, infinitive, active (μι)",verb,312
"pluperfect, indicative, middle/passive (ω)",verb,275
